id_vehiculo;codigbus;matricul;fechamat;matriculacion_planner;edad;numempre;nomempre;bastidor;capacidad;paxdepie;paxsentados;paxpmr;plat_pmr;WC;autoport;marca;modelo;carrocero;categoria;clase;longitud;numcv;tara;cilindrada;potencia;nvl_emisiones;escolar;tipo;subtipo;uso;tall_kilom;tal_feckm;totkilom;activo;dns_vehiculo;dispositivo;combustible
1332;F229;9808LVV;2022-01-07;2022-01-07;0;95;Fernanbus;WEB62805610614994;105;77;101;1;;;;;;;;;;;;;;;;URBANO;;USO GENERAL;;2022-05-12 00:00:00;1000;1;fernanbus;;
1333;T557;2011HLK;2012-06-29;2012-06-29;10;2;Transvia;YV1MW84F1C2675634;;;;;;;;VOLVO;V 50;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;131590;1;transvia;;
1334;ESC0002;8223DVM;2000-06-29;2000-06-29;22;57;Escartin;1J4GWB8X4XYY116393;5;;5;;;;;JEEP;GRAND CHEROKEE;;;;;;;;;;;TURISMO;5;USO GENERAL;;2020-12-15 00:00:00;0;1;therpasa;;
1335;JAGV101;3138KZG;2019-07-30;2019-07-30;3;70;J. Aguilar;WF0DXXWPCHJR01952;5;;5;;;;;FORD;MONDEO HIBRIDO;FORD-CNG-TECHNIK;;;;;;;;;;TAXI;;USO GENERAL;;2021-12-03 00:00:00;130384;1;therpasa;;
1336;T255;0589DJK;;2005-04-14;17;117;Transvia Toledo;;;;;;;;;;;;;;;;;;;;;AUTOBUS;;USO GENERAL;;;916649;1;tviacentro;;
1337;ALSA;ALSA;;;;117;Transvia Toledo;;;;;;;;;;;;;;;;;;;;;;;USO GENERAL;;;0;1;tviacentro;;
1338;ANE0022;5423JNX;2016-05-16;2016-05-16;6;140;;YS2K4X20001898041;56;;54;;;;;;;IRIZAR;;;;;;;;;;NORMAL;55 PAX;;;2022-05-04 00:00:00;304835;1;therpasa;;
1339;MAG0028;3110FNP;2007-04-20;2007-04-20;15;139;;YS2K4X20001857311;60;;58;;;;;;;IRIZAR;;;;;;;;;;13 MTS;;;;2022-04-22 00:00:00;2369507;1;therpasa;;
1340;MAG0047;2408JWJ;2017-01-25;2017-01-25;5;139;;LA6A1EBK5GB201569;40;0;38;;;;;;;AUTOPORTANTE MARCA;;;;;;;;;;MICROBUS;24+31Pie+2PMRSR+C;;;2022-04-20 00:00:00;146509;1;therpasa;;
1341;U370;E0860BHP;2022-02-24;2022-02-24;0;3;Viajes Transvia;VV9V50ELE21083133;;;;;;;;;;;;;;;;;;;;TREN TURISTICO;;DISCRECIONAL;;;0;1;transvia;;
