nomopera;ndias;v_codigbus;v_edad;ndias_ant;ndias_ant_area;ndias_ant_tipo;capacidad;marca;modelo;potencia;tipo;subtipo
Regular ralenti;2;B116;14;14;14;5260;54;MAN;TOURING;301;Discrecional;Normal
Baterias;2;D325;13;6;6;4961;24;MERCEDES BENZ;SPRINTER;115;Discrecional;Microbus
Correas;2;I708;7;56;56;112;59;SCANIA;TOURING III;294;Discrecional;Normal
Cartel escolar;2;J266;13;7;7;7;55;SCANIA;ATLANTIS;280;Discrecional;Normal
Fuga de aire;2;J266;13;7;7;54;55;SCANIA;ATLANTIS;280;Discrecional;Normal
Rueda repuesto;2;B166;1;7;10;10;39;CUMMINS;C10;226;Discrecional;Midibus
Cartel escolar;2;B166;1;7;7;356;39;CUMMINS;C10;226;Discrecional;Midibus
Porton/es maletero;2;B158;10;17;17;276;53;MAN;LION'S COACH;324;Discrecional;Normal
Entrada de agua;2;B160;15;21;21;5435;22;IVECO;MAGO 2;164;Discrecional;Microbus
Porton/es maletero;2;T323;1;12;12;166;49;MAN;i6 15.37;324;Discrecional;Normal
Ventilador;2;U238;35;12;20;350;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Culata del compresor del motor;2;T286;8;6;6;764;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Latiguillo compresor;2;T286;8;6;6;2860;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Instalaciones electricas;2;T286;8;6;6;6;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Tacografo;2;B130;11;20;5;3953;55;SCANIA;CENTURY;280;Discrecional;Normal
Tacografo;2;H088;11;1;4;74;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Fuga de aire;2;B169;16;13;13;5884;30;IVECO/FIAT;MAGO 2;130;Discrecional;Microbus
Fallo en retarde/intarde;2;B169;16;13;13;5884;30;IVECO/FIAT;MAGO 2;130;Discrecional;Microbus
Regular embrague;2;B169;16;13;13;5884;30;IVECO/FIAT;MAGO 2;130;Discrecional;Microbus
Parasol;2;B169;16;13;13;5884;30;IVECO/FIAT;MAGO 2;130;Discrecional;Microbus
Bomba hidroventilador;3;X111;12;23;48;3611;51;MAN;PLATINUM;265;Discrecional;Normal
Correas;2;U208;34;1;1;696;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga aceite hidroventilador;3;I710;4;1;56;1605;59;SCANIA;TOURING;294;Discrecional;Normal
Bomba hidroventilador;3;I710;4;1;56;1605;59;SCANIA;TOURING;294;Discrecional;Normal
Radiador;3;I710;4;1;56;1605;59;SCANIA;TOURING;294;Discrecional;Normal
Intercooler;3;I710;4;1;56;1605;59;SCANIA;TOURING;294;Discrecional;Normal
Valvulas aire;2;T286;8;1;1;7;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Condesadora a.a;39;T276;8;31;31;3051;35;MAN;OPALIN;176;Discrecional;Midibus
Compresor a.a;2;H081;13;79;132;1864;54;MAN;Pb;338;Discrecional;Normal
Instalaciones electricas;2;B119;14;6;6;574;54;SCANIA;Pb;309;Discrecional;Normal
Cambiar/limpiar filtros;2;T222;15;8;8;162;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Plataforma elevadora;2;T251;10;2;6;51;58;IVECO;EURORI.C-35 A;;NORMAL;57 Plazas
Frenos 2º eje;2;U274;9;22;10;240;80;MAN;LION'S CITY;199;Urbano;Doble Piso
Catalizador;2;B148;6;17;23;65;83;MAN;AREA;206;Urbano;Normal
Rueda delantera izquierda usada;2;I708;7;3;59;2514;59;SCANIA;TOURING III;294;Discrecional;Normal
Frenos 1º eje;2;I708;7;3;59;182;59;SCANIA;TOURING III;294;Discrecional;Normal
Valvulas aire;2;T286;8;1;1;1;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Instalaciones electricas;2;T286;8;1;1;2;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Frenos 2º eje;2;T286;8;1;10;520;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Instalaciones electricas;2;X117;3;3;6;191;71;MAN;i6 15.37;353;Discrecional;Normal
Rotular lateral derecho;2;H121;1;14;476;476;55;SCANIA;i6 13.37;331;Discrecional;Normal
Rotular lateral izquierdo;2;H121;1;14;476;476;55;SCANIA;i6 13.37;331;Discrecional;Normal
Plataforma elevadora;2;J289;10;10;10;10;22;MERCEDES BENZ;GÓNGORA;175;Discrecional;Midibus
Frenos 2º eje;5;H110;10;10;16;98;66;SCANIA;HABIT;169;Urbano;Midibus
Tirantes/silembrocs 1º eje;5;H086;11;23;23;893;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Tirantes/silembrocs 2º eje;5;H086;11;23;23;1594;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Tensores correas;5;H086;11;23;23;1108;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Latiguillo compresor;5;H086;11;23;23;1958;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Potencia motor;4;U255;10;2;23;3818;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Cambio filtro aire;4;U255;10;2;2;3818;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Manguito/s motor;1;H082;13;43;98;183;54;MAN;TOURING STAR;338;Discrecional;Normal
Porton/es maletero;4;U292;6;3;17;262;80;MAN;LION'S CITY DD;199;Urbano;Doble Piso
Fuga de aire;4;U292;6;3;17;191;80;MAN;LION'S CITY DD;199;Urbano;Doble Piso
Correas;4;H111;9;11;11;271;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Tensores correas;4;H111;9;11;11;271;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Valvula disparo-secador;1;H085;12;41;41;1294;54;SCANIA;Pb;309;Discrecional;Normal
Alternador;1;H111;9;39;39;1110;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Baterias;1;H111;9;39;39;3471;53;MERCEDES BENZ;TOURISMO RHD;300;Discrecional;Normal
Probar vehiculo;4;R061;11;4;4;3916;9;MERCEDES BENZ;VITO 115 CDI;;TURISMO;
Porton/es maletero;4;R061;11;4;4;3916;9;MERCEDES BENZ;VITO 115 CDI;;TURISMO;
Fuga gasoil;4;B116;14;5;5;715;54;MAN;TOURING;301;Discrecional;Normal
Frenos 1º eje;4;E641;1;12;15;65;5;MERCEDES BENZ;E 220 BLUETEC;;TURISMO;Turismo Mercedes E
Frenos 2º eje;4;E641;1;12;15;12;5;MERCEDES BENZ;E 220 BLUETEC;;TURISMO;Turismo Mercedes E
Discos delanteros;4;E641;1;12;15;590;5;MERCEDES BENZ;E 220 BLUETEC;;TURISMO;Turismo Mercedes E
Discos traseros;4;E641;1;12;15;590;5;MERCEDES BENZ;E 220 BLUETEC;;TURISMO;Turismo Mercedes E
Nevera;4;B156;3;19;19;1191;71;MAN;i6 15.37;353;Discrecional;Normal
