nomopera;ndias;v_codigbus;v_edad;ndias_ant;ndias_ant_area;ndias_ant_tipo;capacidad;marca;modelo;potencia;tipo;subtipo
Nodriza;2;D113;9;6;6;805;19;MERCEDES BENZ;ALVILASA;135;Discrecional;Microbus
Limpiar carroceria;2;B150;5;29;1988;216;20;CAR-BUS.NET;CORVI S;;MICROBUS 14-35 PAX;Micro 19 pax
Frenos 1º eje;2;E641;1;3;22;83;5;MERCEDES BENZ;E 220 BLUETEC;;TURISMO;Turismo Mercedes E
Paragolpes trasero;4;B155;12;9;4462;4462;55;MERCEDES BENZ;DCR;310;Discrecional;Normal
Kit embrague;39;B161;11;22;22;4106;55;VOLVO;SIDERAL 2000;309;Discrecional;Normal
Volante motor;39;B161;11;22;22;4106;55;VOLVO;SIDERAL 2000;309;Discrecional;Normal
Caja cambios;39;B161;11;22;22;198;55;VOLVO;SIDERAL 2000;309;Discrecional;Normal
Servo embrague;39;B161;11;22;22;4106;55;VOLVO;SIDERAL 2000;309;Discrecional;Normal
Fallo en EDC;14;C099;3;10;10;64;71;MAN;i6 13.37;353;Discrecional;Normal
Motor;14;C099;3;10;10;1142;71;MAN;i6 13.37;353;Discrecional;Normal
Correas;4;J264;14;5;5;367;40;IVECO;DCR;317;Discrecional;Normal
Paragolpes trasero;4;B117;16;5;5692;3176;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Frenos 1º eje;4;E642;1;26;26;148;5;MERCEDES BENZ;E 220 BLUETEC;;TURISMO;Turismo Mercedes E
Correas;4;X111;12;8;8;26;51;MAN;PLATINUM;265;Discrecional;Normal
